Product,Group,Geo,Date,Qty
New Nintendo 3DS,3DS,The Americas,2015-03-31,0.0
New Nintendo 3DS,3DS,Other,2015-03-31,0.23
New Nintendo 3DS XL,3DSXL,Japan,2015-03-31,1.34
New Nintendo 3DS XL,3DSXL,The Americas,2015-03-31,0.67
New Nintendo 3DS XL,3DSXL,Other,2015-03-31,0.44
New Nintendo 2DS XL,2DSXL,Japan,2015-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2015-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2015-03-31,0.0
Software,3DS,Japan,2015-03-31,24.02
Software,3DS,The Americas,2015-03-31,21.31
Software,3DS,Other,2015-03-31,17.42
Nintendo 3DS,3DS,Japan,2015-03-31,0.38
Nintendo 3DS,3DS,The Americas,2015-03-31,0.01
Nintendo 3DS,3DS,Other,2015-03-31,0.12
Nintendo 3DS XL,3DSXL,Japan,2016-03-31,0.03
Nintendo 3DS XL,3DSXL,The Americas,2016-03-31,0.28
Nintendo 3DS XL,3DSXL,Other,2016-03-31,0.2
Nintendo 2DS,2DS,Japan,2016-03-31,0.1
Nintendo 2DS,2DS,The Americas,2016-03-31,0.45
Nintendo 2DS,2DS,Other,2016-03-31,0.62
New Nintendo 3DS,3DS,Japan,2016-03-31,0.45
New Nintendo 3DS,3DS,The Americas,2016-03-31,0.11
New Nintendo 3DS,3DS,Other,2016-03-31,0.47000000000000003
New Nintendo 3DS XL,3DSXL,Japan,2016-03-31,1.58
New Nintendo 3DS XL,3DSXL,The Americas,2016-03-31,1.41
New Nintendo 3DS XL,3DSXL,Other,2016-03-31,0.85
New Nintendo 2DS XL,2DSXL,Japan,2016-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2016-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2016-03-31,0.0
Software,3DS,Japan,2016-03-31,20.34
Software,3DS,The Americas,2016-03-31,14.870000000000001
Software,3DS,Other,2016-03-31,13.31
Nintendo 3DS,3DS,Japan,2016-03-31,0.2
Nintendo 3DS,3DS,The Americas,2016-03-31,0.0
Nintendo 3DS,3DS,Other,2016-03-31,0.04
Nintendo 3DS XL,3DSXL,Japan,2017-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2017-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2017-03-31,0.06
Nintendo 2DS,2DS,Japan,2017-03-31,0.49
Nintendo 2DS,2DS,The Americas,2017-03-31,0.77
Nintendo 2DS,2DS,Other,2017-03-31,1.24
New Nintendo 3DS,3DS,Japan,2017-03-31,0.12
New Nintendo 3DS,3DS,The Americas,2017-03-31,0.4
New Nintendo 3DS,3DS,Other,2017-03-31,0.13
New Nintendo 3DS XL,3DSXL,Japan,2017-03-31,1.3800000000000001
New Nintendo 3DS XL,3DSXL,The Americas,2017-03-31,1.3900000000000001
New Nintendo 3DS XL,3DSXL,Other,2017-03-31,1.25
New Nintendo 2DS XL,2DSXL,Japan,2017-03-31,0.0
New Nintendo 2DS XL,2DSXL,The Americas,2017-03-31,0.0
New Nintendo 2DS XL,2DSXL,Other,2017-03-31,0.0
Software,3DS,Japan,2017-03-31,17.84
Software,3DS,The Americas,2017-03-31,19.05
Software,3DS,Other,2017-03-31,18.2
Nintendo 3DS,3DS,Japan,2017-03-31,0.0
Nintendo 3DS,3DS,The Americas,2017-03-31,0.0
Nintendo 3DS,3DS,Other,2017-03-31,0.05
Nintendo 3DS XL,3DSXL,Japan,2018-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2018-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2018-03-31,0.0
Nintendo 2DS,2DS,Japan,2018-03-31,0.06
Nintendo 2DS,2DS,The Americas,2018-03-31,1.12
Nintendo 2DS,2DS,Other,2018-03-31,0.81
New Nintendo 3DS,3DS,Japan,2018-03-31,0.01
New Nintendo 3DS,3DS,The Americas,2018-03-31,0.0
New Nintendo 3DS,3DS,Other,2018-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2018-03-31,0.54
New Nintendo 3DS XL,3DSXL,The Americas,2018-03-31,0.85
New Nintendo 3DS XL,3DSXL,Other,2018-03-31,0.31
New Nintendo 2DS XL,2DSXL,Japan,2018-03-31,0.78
New Nintendo 2DS XL,2DSXL,The Americas,2018-03-31,0.89
New Nintendo 2DS XL,2DSXL,Other,2018-03-31,1.04
Software,3DS,Japan,2018-03-31,11.18
Software,3DS,The Americas,2018-03-31,12.120000000000001
Software,3DS,Other,2018-03-31,12.34
Nintendo 3DS,3DS,Japan,2018-03-31,0.0
Nintendo 3DS,3DS,The Americas,2018-03-31,0.0
Nintendo 3DS,3DS,Other,2018-03-31,0.0
Nintendo 3DS XL,3DSXL,Japan,2019-03-31,0.0
Nintendo 3DS XL,3DSXL,The Americas,2019-03-31,0.0
Nintendo 3DS XL,3DSXL,Other,2019-03-31,0.0
Nintendo 2DS,2DS,Japan,2019-03-31,0.0
Nintendo 2DS,2DS,The Americas,2019-03-31,0.62
Nintendo 2DS,2DS,Other,2019-03-31,0.26
New Nintendo 3DS,3DS,Japan,2019-03-31,0.0
New Nintendo 3DS,3DS,The Americas,2019-03-31,0.0
New Nintendo 3DS,3DS,Other,2019-03-31,0.0
New Nintendo 3DS XL,3DSXL,Japan,2019-03-31,0.09
New Nintendo 3DS XL,3DSXL,The Americas,2019-03-31,0.08
New Nintendo 3DS XL,3DSXL,Other,2019-03-31,0.06
New Nintendo 2DS XL,2DSXL,Japan,2019-03-31,0.38
New Nintendo 2DS XL,2DSXL,The Americas,2019-03-31,0.58
New Nintendo 2DS XL,2DSXL,Other,2019-03-31,0.47000000000000003
Software,3DS,Japan,2019-03-31,2.33
Software,3DS,The Americas,2019-03-31,5.7
