Product,Date,Qty
PS4,FY2013,7.6
PS4,FY2014,14.8
PS4,FY2015,17.7
PS4,FY2016,20
PS4,FY2017,19
PS4,FY2018,17.8
PS4,FY2019,13.5
PS4,FY2020,5.7
PS4,FY2021,1
PS5,FY2020,7.8
PS5,FY2021,11.5
PS5,FY2022,19.1
PS5,FY2023,3.3
